seleccion,elo,forma_pts,forma_dif_gol,gf_prom,gc_prom
Saint Pierre and Miquelon,1431.8363229751208,0.0,-10.857142857142858,0.4642857142857143,11.964285714285714
Armenia,1431.1142355869893,0.6,-1.7,0.7636363636363637,2.4
Raetia,1428.3214683306373,1.0,-0.7,3.272727272727273,2.4363636363636365
Malawi,1425.7429182020715,1.2,0.0,0.7090909090909091,0.7636363636363637
Barawa,1425.63850781838,0.9,-2.4,0.8,4.418181818181818
Luxembourg,1424.4232575670521,0.4,-1.3,0.23636363636363636,1.4
Yemen DPR,1424.3812897329703,0.6,-1.4,0.9090909090909091,2.3454545454545452
Hitra,1423.8942801008666,1.3,-0.6,2.709090909090909,2.618181818181818
Tanzania,1422.2841215260719,0.5,-0.2,1.6363636363636365,1.1818181818181819
Ethiopia,1417.4956339448079,1.3,-0.2,1.1272727272727272,1.2727272727272727
Botswana,1417.0932159494396,0.7,-1.2,0.43636363636363634,1.8545454545454545
Estonia,1416.8114042550378,1.2,-0.8,1.1272727272727272,1.3272727272727274
Liberia,1416.3838944210404,1.2,-0.2,1.290909090909091,1.3818181818181818
Burundi,1415.7743972779363,0.7,-0.8,0.34545454545454546,1.8181818181818181
Ambazonia,1415.346278020296,0.16666666666666666,-2.3333333333333335,0.38095238095238093,2.9523809523809526
Lesotho,1412.512841663382,0.9,-1.2,0.5818181818181818,1.3272727272727274
Kiribati,1411.860874314641,0.1,-9.5,0.5636363636363636,11.527272727272727
Turkmenistan,1411.0880708151756,1.6,0.2,1.8181818181818181,1.0727272727272728
Darfur,1408.8843224415739,0.0,-14.0,0.10714285714285714,13.678571428571429
Vietnam Republic,1399.260833650728,0.8,-1.0,0.6727272727272727,2.3636363636363638
Central African Republic,1398.1503681090323,0.8,-1.4,0.7818181818181819,2.272727272727273
Wallis Islands and Futuna,1397.225660435683,0.3,-5.1,0.8363636363636363,6.836363636363636
Guinea-Bissau,1394.4408111332937,0.5,-1.1,0.5454545454545454,1.690909090909091
Azerbaijan,1391.4029612839756,0.8,-0.9,1.490909090909091,1.7272727272727273
Bermuda,1387.60766327547,1.0,-1.2,1.1454545454545455,2.690909090909091
Faroe Islands,1386.890685132419,2.1,0.6,1.2727272727272727,0.7818181818181819
Saint Vincent and the Grenadines,1386.3135647230324,1.9,1.5,2.381818181818182,1.4363636363636363
Saare County,1385.8455471673942,1.1,-0.5,1.9090909090909092,2.036363636363636
Sint Maarten,1379.3233552741278,1.7,-0.9,1.309090909090909,1.8181818181818181
Cyprus,1373.2397028347636,1.2,0.1,1.6545454545454545,1.4
Tibet,1370.9467344328345,0.2,-2.5,1.9636363636363636,4.254545454545455
Congo,1368.5629344587524,0.5,-1.7,0.6545454545454545,1.9454545454545455
Puerto Rico,1368.3919081637403,1.1,-0.8,1.2727272727272727,1.8181818181818181
Tuvalu,1365.2732767635437,0.7,-4.3,1.6,4.545454545454546
Philippines,1364.94032056621,2.5,1.8,3.4545454545454546,1.0363636363636364
Falkland Islands,1353.17871791637,0.1,-2.6,0.7636363636363637,3.1454545454545455
Yemen,1351.4120782851887,1.8,1.8,3.727272727272727,1.1636363636363636
Samoa,1351.0493548201807,1.2,-1.8,0.8909090909090909,3.618181818181818
Saint Kitts and Nevis,1350.6774631881317,1.3,-0.6,2.018181818181818,2.690909090909091
Frøya,1348.210812076415,0.4,-2.6,0.9818181818181818,4.4
Eswatini,1345.7878400926843,0.5,-1.7,0.7272727272727273,2.4909090909090907
Singapore,1341.2726422730373,1.7,0.6,1.9454545454545455,1.3272727272727274
Lithuania,1340.520021344043,0.6,-0.9,0.5636363636363636,1.4545454545454546
Latvia,1340.4522899305402,0.5,-0.9,0.5272727272727272,1.5272727272727273
Hong Kong,1336.6118395574442,1.5,0.8,1.7454545454545454,1.2727272727272727
Saint Martin,1335.5777604180143,1.5,0.0,1.7818181818181817,1.4181818181818182
Malta,1335.1905459212396,1.1,-1.2,1.3272727272727274,1.981818181818182
Montserrat,1332.2652098969147,0.6,-1.4,0.4909090909090909,1.6
Grenada,1331.1200188326304,1.5,-0.4,1.2,2.4363636363636365
Belize,1330.1176724412676,1.0,-1.2,1.690909090909091,2.5454545454545454
Saint Lucia,1328.3187938289086,0.9,-2.2,0.8,3.5090909090909093
Moldova,1321.37091922809,0.3,-2.3,1.0727272727272728,2.4727272727272727
South Sudan,1313.1722670988584,0.6,-1.4,0.32727272727272727,1.9636363636363636
Cook Islands,1310.6297391387438,0.6,-2.8,0.5272727272727272,2.727272727272727
